"OCC","Occupation","Occupation Category (1st Level)","Occupation Category (2nd Level)","Occupation Category (3rd Level)","Occupation Category (4th Level)"
"477","Supervisors, farm workers","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Farm Occupations, Except Managerial",
"479","Farm workers","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Farm Occupations, Except Managerial",
"483","Marine life cultivation workers","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Farm Occupations, Except Managerial",
"484","Nursery workers","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Farm Occupations, Except Managerial",
"485","Supervisors, related agricultural occupations","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Related Agricultural Occupations",
"486","Groundskeepers and gardeners, except farm","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Related Agricultural Occupations",
"487","Animal caretakers, except farm","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Related Agricultural Occupations",
"488","Graders and sorters, agricultural products","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Related Agricultural Occupations",
"489","Inspectors, agricultural products","Farming, Forestry, and Fishing Occupations","Other Agricultural and Related Occupations","Related Agricultural Occupations",
"494","Supervisors, forestry and logging workers","Farming, Forestry, and Fishing Occupations","Forestry and Logging Occupations",,
"495","Forestry workers, except logging","Farming, Forestry, and Fishing Occupations","Forestry and Logging Occupations",,
"496","Timber cutting and logging occupations","Farming, Forestry, and Fishing Occupations","Forestry and Logging Occupations",,
"497","Captains and other officers, fishing vessels","Farming, Forestry, and Fishing Occupations","Fishers, Hunters, and Trappers",,
"498","Fishers","Farming, Forestry, and Fishing Occupations","Fishers, Hunters, and Trappers",,
"499","Hunters and trappers","Farming, Forestry, and Fishing Occupations","Fishers, Hunters, and Trappers",,
"503","Supervisors, mechanics and repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers",,
"505","Automobile mechanics, except apprentices","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"506","Automobile mechanic apprentices","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"507","Bus, truck, and stationary engine mechanics","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"508","Aircraft engine mechanics","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"509","Small engine repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"514","Automobile body and related repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"515","Aircraft mechanics, except engine","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"516","Heavy equipment mechanics","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"517","Farm equipment mechanics","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Vehicle and Mobile Equipment Mechanics and Repairers"
"518","Industrial machinery repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors",
"519","Machinery maintenance occupations","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors",
"523","Electronic repairers, communications and industrial equipment","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"525","Data processing equipment repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"526","Household appliance and power tool repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"527","Telephone line installers and repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"529","Telephone installers and repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"533","Miscellaneous electrical and electronic equipment repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Electrical and Electronic Equipment Repairers"
"534","Heating, air conditioning, and refrigeration mechanics","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors",
"535","Camera, watch, and musical instrument repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"536","Locksmiths and safe repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"538","Office machine repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"539","Mechanical controls and valve repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"543","Elevator installers and repairers","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"544","Millwrights","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"547","Mechanics and repairers, n.e.c.","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"549","Mechanics and repairers, n.s.","Precision Production, Craft, and Repair Occupations","Mechanics and Repairers","Mechanics and Repairers, Except Supervisors","Miscellaneous Mechanics and Repairers"
"553","Supervisors, brickmasons, stonemasons, and tile setters","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"554","Supervisors, carpenters and related workers","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"555","Supervisors, electricians and power transmission installers","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"556","Supervisors, painters, paperhangers, and plasterers","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"557","Supervisors, plumbers, pipefitters, and steamfitters","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"558","Supervisors, n.e.c.","Precision Production, Craft, and Repair Occupations","Construction Trades","Supervisors, Construction Occupations",
"563","Brickmasons and stonemasons, except apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"564","Brickmason and stonemason apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"565","Tile setters, hard and soft","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"566","Carpet installers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"567","Carpenters, except apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"569","Carpenter apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"573","Drywall installers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"575","Electricians, except apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"576","Electrician apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"577","Electrical power installers and repairers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"579","Painters, construction and maintenance","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"583","Paperhangers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"584","Plasterers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"585","Plumbers, pipefitters, and steamfitters, except apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"587","Plumber, pipefitter, and steamfitter apprentices","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"588","Concrete and terrazzo finishers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"589","Glaziers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"593","Insulation workers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"594","Paving, surfacing, and tamping equipment operators","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"595","Roofers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"596","Sheetmetal duct installers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"597","Structural metal workers","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"598","Drillers, earth","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"599","Construction trades, n.e.c.","Precision Production, Craft, and Repair Occupations","Construction Trades","Construction Trades, Except Supervisors",
"613","Supervisors, extractive occupations","Precision Production, Craft, and Repair Occupations","Extractive Occupations",,
"614","Drillers, oil well","Precision Production, Craft, and Repair Occupations","Extractive Occupations",,
"615","Explosives workers","Precision Production, Craft, and Repair Occupations","Extractive Occupations",,
"616","Mining machine operators","Precision Production, Craft, and Repair Occupations","Extractive Occupations",,
"617","Mining occupations, n.e.c.","Precision Production, Craft, and Repair Occupations","Extractive Occupations",,
"633","Supervisors production occupations","Precision Production, Craft, and Repair Occupations","Precision Production Occupations",,
"634","Tool and die makers, except apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"635","Tool and die maker apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"636","Precision assemblers, metal","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"637","Machinists, except apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"639","Machinist apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"643","Boilermakers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"644","Precision grinders, fitters, and tool sharpeners","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"645","Patternmakers and model makers, metal","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"646","Lay-out workers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"647","Precious stones and metals workers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"649","Engravers, metal","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"653","Sheet metal workers, except apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"654","Sheet metal worker apprentices","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"655","Miscellaneous precision metal workers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Metal Working Occupations",
"656","Patternmakers and model makers, wood","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Woodworking Occupations",
"657","Cabinet makers and bench carpenters","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Woodworking Occupations",
"658","Furniture and wood finishers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Woodworking Occupations",
"659","Miscellaneous precision woodworkers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Woodworking Occupations",
"666","Dressmakers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"667","Tailors","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"668","Upholsterers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"669","Shoe repairers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"673","Apparel and fabric patternmakers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"674","Misc. precision apparel and fabric workers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Textile, Apparel, and Furnishings Machine Workers",
"675","Hand molders and shapers, except jewelers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"676","Patternmakers, lay-out workers, and cutters","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"677","Optical goods workers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"678","Dental laboratory and medical appliance technicians","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"679","Bookbinders","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"683","Electrical and electronic equipment assemblers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"684","Miscellaneous precision workers, n.e.c.","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Workers, Assorted Materials",
"686","Butchers and meat cutters","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Food Production Occupations",
"687","Bakers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Food Production Occupations",
"688","Food batchmakers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Food Production Occupations",
"689","Inspectors, testers, and graders","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Inspectors, Testers, and Related Workers",
"693","Adjusters and calibrators","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Precision Inspectors, Testers, and Related Workers",
"694","Water and sewage treatment plant operators","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Plant and System Operators",
"695","Power plant operators","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Plant and System Operators",
"696","Stationary engineers","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Plant and System Operators",
"699","Miscellaneous plant and system operators","Precision Production, Craft, and Repair Occupations","Precision Production Occupations","Plant and System Operators",
"703","Lathe and turning machine set-up operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"704","Lathe and turning machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"705","Milling and planing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"706","Punching and stamping press machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"707","Rolling machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"708","Drilling and boring machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"709","Grinding, abrading, buffing, and polishing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"713","Forging machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"714","Numerical control machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"715","Miscellaneous metal, plastic, stone, and glass working machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metalworking and Plastic Working Machine Operators"
"717","Fabricating machine operators, n.e.c.","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision",
"719","Molding and casting machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metal and Plastic Processing Machine Operators"
"723","Metal plating machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metal and Plastic Processing Machine Operators"
"724","Heat treating equipment operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metal and Plastic Processing Machine Operators"
"725","Miscellaneous metal and plastic processing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Metal and Plastic Processing Machine Operators"
"726","Wood lathe, routing, and planing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Woodworking Machine Operators"
"727","Sawing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Woodworking Machine Operators"
"728","Shaping and joining machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Woodworking Machine Operators"
"729","Nailing and tacking machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Woodworking Machine Operators"
"733","Misc. woodworking machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Woodworking Machine Operators"
"734","Printing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Printing Machine Operators"
"735","Photoengravers and lithographers","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Printing Machine Operators"
"736","Typesetters and compositors","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Printing Machine Operators"
"737","Miscellaneous printing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Printing Machine Operators"
"738","Winding and twisting machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"739","Knitting, looping, taping, and weaving machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"743","Textile cutting machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"744","Textile sewing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"745","Shoe machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"747","Pressing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"748","Laundering and dry cleaning machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"749","Miscellaneous textile machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Textile, Apparel, and Furnishings Machine Operators"
"753","Cementing and gluing machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"754","Packaging and filling machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"755","Extruding and forming machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"756","Mixing and blending machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"757","Separating, filtering, and clarifying machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"758","Compressing and compacting machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"759","Painting and paint spraying machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"763","Roasting and baking machine operators, food","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"764","Washing, cleaning, and pickling machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"765","Folding machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"766","Furnace, kiln, and oven operators, except food","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"768","Crushing and grinding machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"769","Slicing and cutting machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"773","Motion picture projectionists","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"774","Photographic process machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"777","Miscellaneous machine operators","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"779","Machine operators, n.s.","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Machine Operators and Tenders, except Precision","Machine Operators, Assorted Materials"
"783","Welders and cutters","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"784","Solderers and blazers","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"785","Assemblers","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"786","Hand cutting and trimming occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"787","Hand molding, casting, and forming occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"789","Hand painting, coating, and decorating occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"793","Hand engraving and printing occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"794","Hand grinding and polishing occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"795","Miscellaneous hand working occupations","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Fabricators, Assemblers, and Hand Working Occupations",
"796","Production inspectors, checkers, and examiners","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Production Inspectors, Testers, Samplers, and Weighers",
"797","Production testers","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Production Inspectors, Testers, Samplers, and Weighers",
"798","Production samplers and weighers","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Production Inspectors, Testers, Samplers, and Weighers",
"799","Graders and sorters, except agricultural","Operators, Fabricators, and Laborers","Machine Operators, Assemblers and Inspectors","Production Inspectors, Testers, Samplers, and Weighers",
"803","Supervisors, motor vehicle operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"804","Truck drivers, heavy","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"805","Truck drivers, light","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"806","Driver-sales workers","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"808","Bus drivers","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"809","Taxicab drivers and chauffeurs","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"813","Parking lot attendants","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"814","Motor transportation occupations, n.e.c.","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Motor Vehicle Operators",
"823","Railroad conductors and yardmasters","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Rail Transportation Occupations"
"824","Locomotive operating occupations","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Rail Transportation Occupations"
"825","Railroad brake, signal, and switch operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Rail Transportation Occupations"
"826","Rail vehicle operators, n.e.c.","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Rail Transportation Occupations"
"828","Ship captains and mates, except fishing boats","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Water Transportation Occupations"
"829","Sailors and deckhands","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Water Transportation Occupations"
"833","Marine engineers","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Water Transportation Occupations"
"834","Bridge, lock, and lighthouse tenders","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Transportation Occupations, Except Motor Vehicles","Water Transportation Occupations"
"843","Supervisors, material moving equipment operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"844","Operating engineers","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"845","Longshore equipment operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
